canver
[[ 1.96030951  0.79264772]]
[[ 1.36872792  0.28924993]]
[[ 2.60724926  1.6754905 ]]
[[ 1.9339335  1.0378561]]
[[ 1.47073078  0.57700676]]
[[ 2.08610082  0.95994365]]
[[ 1.94068193  1.21563447]]
[[ 1.83656383  0.84887612]]
[[ 2.00333524  1.09374118]]
[[ 1.41057563  0.56774044]]
[[ 1.83695316  0.90770245]]
[[ 0.79311579 -0.20742151]]
[[ 1.56622291  0.56497216]]
[[ 1.56453729  0.48812333]]
[[ 1.88386011  0.70512056]]
[[ 1.94485593  0.86062121]]
[[ 1.71937585  0.83401239]]
[[ 2.07422638  1.03024542]]
[[ 1.01933432 -0.11702952]]
[[ 2.16144586  0.85432589]]
[[ 1.64322305  0.59970385]]
[[ 1.92930222  0.80213153]]
[[ 1.38305807  0.39370587]]
[[ 1.73601437  0.70467794]]
[[ 0.849783   -0.22784176]]
[[ 1.55655575  0.62783426]]
[[ 1.8200202   1.17117739]]
[[ 1.53320837  0.49926791]]
[[ 1.8778224   0.87051868]]
[[ 1.82827139  0.98572397]]
[[ 1.37220812  0.6765728 ]]
[[ 0.80834502  0.06348839]]
[[ 1.03140545  0.0777922 ]]
[[ 1.77637863  0.85229099]]
[[ 1.96920681  0.92214644]]
[[ 1.60275221  0.96114802]]
[[ 2.59960413  1.62651467]]
[[ 1.5375638  0.9131391]]
[[ 1.45633841  0.57775134]]
[[ 2.04055977  1.0486325 ]]
[[ 2.3019681   1.51922679]]
[[ 2.10963964  0.92021263]]
[[ 1.46453667  0.84952199]]
[[ 1.3586719   0.48424265]]
[[ 1.26405478  0.36388299]]
[[ 2.20221186  0.97076094]]
[[ 1.3538568   0.78321671]]
[[ 1.61680913  0.49103615]]
[[ 1.1667161   0.32192901]]
[[ 1.29254198  0.40425286]]
[[ 1.68570065  0.55752885]]
[[ 1.73983192  0.50572407]]
[[ 1.42465639  0.36564043]]
[[ 1.59005427  0.79550397]]
[[ 1.43475747  0.69377685]]
[[ 2.0644331  0.8338753]]
[[ 1.85211253  0.77319658]]
[[ 2.36304092  1.52499354]]
[[ 1.44994187  0.6904906 ]]
[[ 0.71746343 -0.11119363]]
[[ 2.00894403  1.08528578]]
[[ 1.5757494   0.66960132]]
[[ 2.20237303  1.13342178]]
[[ 1.35388517  0.46032345]]
[[ 1.41883016  0.30573598]]
[[ 0.84241027 -0.2403205 ]]
[[ 2.05000639  1.12101114]]
[[ 0.08912855 -0.53216922]]
[[ 1.64269018  0.94605982]]
[[ 1.14442825  0.30558208]]
[[ 1.69680238  0.82392037]]
[[ 0.25883859 -0.43727854]]
[[ 0.73110074 -0.12306419]]
[[ 1.88591218  0.82471573]]
[[ 1.52447319  0.48599854]]
[[ 0.99574429  0.09821877]]
[[ 2.27916145  1.18741763]]
[[ 2.25872183  1.51928926]]
[[ 2.10516453  1.00083327]]
[[ 1.85991287  0.88204241]]
[[ 1.9722023  0.8319757]]
[[ 1.56244111  0.53717065]]
[[ 2.46553397  1.6426717 ]]
[[ 1.34738994  0.51749384]]
[[ 1.90078187  0.70510209]]
[[ 1.52529097  0.63924634]]
[[ 1.586689   0.5722096]]
[[ 1.6737659   0.75023508]]
[[ 2.28756094  1.31009209]]
[[ 2.35925198  1.31464505]]
[[ 1.82255077  1.1143949 ]]
[[ 1.89284873  0.685745  ]]
[[ 1.29553747  0.35790744]]
[[ 2.23320103  1.1432693 ]]
[[ 1.62018561  0.51945388]]
[[ 1.39917636  0.53306216]]
[[ 2.29528189  1.48322082]]
[[ 1.34327698  0.56587291]]
[[ 1.46864271  0.46933141]]
[[ 1.31095576  0.56863451]]
[[ 1.98733211  1.15435994]]
[[ 1.15583897  0.12369099]]
[[ 1.57774639  0.77777946]]
[[ 1.31165004  0.35483646]]
[[ 1.76034403  0.58808488]]
[[ 2.14260721  1.01672351]]
[[ 1.40243649  0.59734976]]
[[ 0.74406475 -0.17864618]]
[[ 1.55944872  0.57024974]]
[[ 1.78915882  0.86496055]]
[[ 2.00144696  1.07329059]]
[[ 0.43852836 -0.40017417]]
[[ 2.05139875  0.752491  ]]
[[ 0.60740465 -0.12866178]]
[[ 2.03855848  1.04064822]]
[[ 1.10840154  0.07153729]]
[[ 1.45158863  0.37026694]]
[[ 0.8136583  -0.06271783]]
[[ 0.77326602 -0.03719419]]
[[ 1.85924411  0.84664595]]
[[ 2.36067152  1.25647628]]
[[ 0.79177481 -0.04804596]]
[[ 2.5632515   1.81737769]]
[[ 1.92442036  0.74080849]]
[[ 1.26273608  0.213734  ]]
[[ 1.829597    0.72158647]]
[[ 1.26190877  0.44250396]]
[[ 1.85794306  0.98553848]]
[[ 2.05438948  1.27270401]]
[[ 1.9964509   0.85535204]]
[[ 0.67023689 -0.19584695]]
[[ 1.44000697  0.67348695]]
[[ 1.26565957  0.213314  ]]
[[ 1.80316615  0.81617904]]
[[ 1.58649921  0.60400021]]
[[ 1.93183661  0.92235315]]
[[ 1.61703444  0.72963715]]
[[ 1.99400234  1.12574971]]
[[ 2.02302742  0.96148682]]
[[ 0.40877736 -0.40748563]]
[[ 1.79944992  0.6887424 ]]
[[ 1.80078125  0.97778535]]
[[ 0.97023624  0.45023659]]
[[ 1.25728941  0.350591  ]]
[[ 1.24166131  0.17663017]]
[[ 2.20563436  0.99173987]]
[[ 1.37610745  0.35490254]]
[[ 1.7231493   0.81555092]]
[[ 1.43786955  0.60014659]]
[[ 1.65869808  0.78639174]]
[[ 0.42925602 -0.38938716]]
[[ 1.66162491  0.75264728]]
[[ 1.39714932  0.49131444]]
[[ 1.99228001  1.22466958]]
[[ 1.78466392  0.99349296]]
[[ 1.86270475  0.72176278]]
[[ 2.11002135  0.97937369]]
[[ 1.54224205  1.013327  ]]
[[ 1.87897706  0.9533329 ]]
[[ 2.08264017  1.0500977 ]]
[[ 1.32246828  0.45129314]]
[[ 1.36190057  0.34902957]]
[[ 1.17630792  0.21988043]]
[[ 1.90852308  1.02514875]]
[[ 0.83029836  0.00714806]]
[[ 1.45994616  0.4317672 ]]
[[ 2.08666778  1.08417416]]
[[ 1.03582716  0.34081402]]
[[ 1.29404545  0.25764421]]
[[ 1.27913451  0.50051808]]
[[ 0.89446074  0.0014855 ]]
[[ 1.41005349  0.60490197]]
[[ 2.30742693  1.24710464]]
[[ 2.05593109  0.95127213]]
[[ 1.55538034  0.76463139]]
[[ 1.73844147  0.79135323]]
[[ 2.44120359  1.29788601]]
[[ 1.89021373  0.88080966]]
[[ 2.11006784  1.23591888]]
[[ 1.79548454  0.93101239]]
[[ 1.34677267  0.50389516]]
[[ 1.88320208  0.72113645]]
[[ 0.82346541 -0.05446294]]
[[ 1.22650933  0.31321195]]
[[ 2.2003479   1.47885275]]
[[ 2.48766804  1.61176682]]
[[ 1.19929504  0.17271557]]
[[ 1.86402512  0.88695669]]
[[ 2.22067857  1.40153039]]
[[ 1.91692042  1.00134516]]
[[ 1.40700626  0.47355679]]
[[ 0.73340398 -0.11961487]]
[[ 1.73912144  0.6312691 ]]
[[ 1.77885032  0.97204316]]
[[ 1.33354878  0.35930532]]
[[ 1.61566854  0.83214223]]
[[ 1.68684411  0.5023942 ]]
[[ 1.7051065   0.71511364]]
[[ 0.95586067 -0.07536361]]
[[ 1.64747357  0.58966756]]
[[ 0.78325707  0.22012028]]
[[ 0.90748745 -0.11686119]]
[[ 1.10160017  0.28633374]]
[[ 1.5207839   0.88241839]]
[[ 2.09041524  1.05830765]]
[[ 2.10418057  1.28091586]]
[[ 1.75441504  0.94750071]]
[[ 1.47006083  0.52009964]]
[[ 2.33310294  1.25881374]]
[[ 1.99118185  1.00674641]]
[[ 1.13056588  0.35591477]]
[[ 1.48060942  0.66834736]]
[[ 2.09677219  0.84953725]]
[[ 2.12076426  1.17834568]]
[[ 1.49743557  0.36515406]]
[[ 0.62490731 -0.26482698]]
[[ 0.70163161 -0.03304568]]
[[ 2.06302786  1.20462477]]
[[ 1.44630599  0.66695464]]
[[ 1.37849379  0.66115677]]
[[ 1.91066885  1.08096099]]
[[ 2.24248934  1.2358247 ]]
[[ 1.84401584  0.68741047]]
[[ 1.88640451  0.69064999]]
[[ 1.09323144  0.27514598]]
[[ 1.57384372  0.88998759]]
[[ 1.73628569  0.84636724]]
[[ 1.82929683  0.87335443]]
[[ 0.99150127  0.05383053]]
[[ 1.78163886  0.54529417]]
[[ 0.7682423  -0.01667729]]
[[ 1.9455235   0.80930114]]
[[ 1.71445227  1.06348634]]
[[ 1.83362365  0.72608149]]
[[ 1.668998    0.70648646]]
[[ 1.81892586  0.89134812]]
[[ 1.72921705  0.8015871 ]]
[[ 1.54301786  0.66744137]]
[[ 1.7823143   1.02278113]]
[[ 2.13290834  1.15758574]]
[[ 2.45058155  1.49919951]]
[[ 1.80085325  0.68288362]]
[[ 1.05745149  0.30870774]]
[[ 1.08928943  0.31356534]]
[[ 1.53617144  0.53952551]]
[[ 1.38206291  0.4102861 ]]
[[ 1.2328887   0.24357888]]
[[ 1.72605181  0.8276794 ]]
[[ 1.76082659  0.67860961]]
[[ 1.31351471  0.44540855]]
[[ 1.4898088   0.57038164]]
[[ 1.21584392  0.33770135]]
[[ 0.86415452  0.00343195]]
[[ 1.33018088  0.44488856]]
[[ 0.94414514  0.21094751]]
[[ 1.48789072  0.44037142]]
[[ 1.24507904  0.32735422]]
[[ 2.02500868  1.17578495]]
[[ 0.71831745  0.14980277]]
[[ 1.78924656  0.80097938]]
[[ 1.00488901  0.31279936]]
[[ 2.06433773  1.46242189]]
[[ 1.17312074  0.11865953]]
[[ 1.34803319  0.42594817]]
[[ 1.57355428  0.65085173]]
[[ 1.72395635  0.65451753]]
[[ 2.19399858  1.34235883]]
[[ 0.32483739 -0.31960171]]
[[ 0.77387267 -0.01166663]]
[[ 1.98618579  0.85595632]]
[[ 1.85917473  0.80257475]]
[[ 1.37374735  0.49219754]]
[[ 2.15877676  1.12863636]]
[[ 0.3453151  -0.45592162]]
[[ 1.90233374  1.25368893]]
[[ 1.9314034   0.98824561]]
[[ 1.17587686  0.07181242]]
[[ 1.17532611  0.24934164]]
[[ 2.00234842  1.09444332]]
[[ 1.36223102  0.66360521]]
[[ 1.31826568  0.57329822]]
[[ 1.90008354  0.71885192]]
[[ 2.07811737  1.14160943]]
[[ 2.23080444  1.06947303]]
[[ 1.44792151  0.32928935]]
[[ 0.38337666 -0.56785262]]
[[ 1.77844429  0.87512982]]
[[ 1.3112185   0.43522647]]
[[ 0.30378193 -0.54496455]]
[[ 2.33012724  1.30137336]]
[[ 1.79277611  0.83818841]]
[[ 1.08049965  0.22088337]]
[[ 1.04889727  0.23576578]]
[[ 2.26314354  1.44623303]]
[[ 0.12314928 -0.60443187]]
[[ 1.46992016  0.66337645]]
[[ 1.37440205  0.49916193]]
[[ 1.11400771  0.0797461 ]]
[[ 1.64424086  0.87280798]]
[[ 1.86745977  1.00167036]]
[[ 2.11773992  1.07957244]]
[[ 1.07389832  0.04875436]]
[[ 1.01071882  0.34498855]]
[[ 1.93820643  0.75785625]]
[[ 2.04445982  1.16080856]]
[[ 1.70575881  0.69226742]]
[[ 1.31483555  0.41414008]]
[[ 1.61974859  0.71055901]]
[[ 2.33646464  1.25592673]]
[[ 0.64452559 -0.17685154]]
[[ 0.47439235 -0.2804122 ]]
[[ 1.78345776  0.67673957]]
[[ 1.70977402  0.87510622]]
[[ 1.87424779  0.81775427]]
[[ 0.53046268 -0.33943734]]
[[ 1.23436999  0.29438588]]
[[ 1.49560428  0.54733664]]
[[ 1.82041502  0.66981202]]
[[ 1.49513483  0.62925327]]
[[ 2.05107164  0.93141317]]
[[ 1.98995495  0.83807456]]
[[ 1.23220444  0.2214376 ]]
[[ 1.40303779  0.61184371]]
[[ 2.51279855  1.33327281]]
[[ 1.90622163  0.83935833]]
[[ 1.59752607  0.5045867 ]]
[[ 1.63280439  1.01990628]]
[[ 0.91439086  0.14147595]]
[[ 1.56285238  0.44920811]]
[[ 1.63472652  0.52343905]]
[[ 1.44644308  0.53634262]]
[[ 1.73596597  0.62987411]]
[[ 1.82866454  0.85422909]]
[[ 1.63899326  1.03576422]]
[[ 2.01392555  1.03163445]]
[[ 1.1963017   0.41367975]]
[[ 0.49847764 -0.28255686]]
[[ 1.3775239   0.35909131]]
[[ 1.61519337  0.69267654]]
[[ 1.90223312  1.12188113]]
[[ 2.1161623   1.04023969]]
[[ 1.71146297  0.67649996]]
[[ 0.2445516 -0.6827997]]
[[ 1.14307141  0.12940648]]
[[ 1.72002339  0.70405281]]
[[ 0.91631919  0.21809843]]
[[ 0.64025956 -0.22555903]]
[[ 1.18992066  0.18589035]]
[[ 1.37200379  0.41581449]]
[[ 1.19568944  0.2977899 ]]
[[ 0.53277034  0.00652906]]
[[ 0.74904972 -0.0470185 ]]
[[ 2.1885097   0.91080189]]
[[ 0.63038272 -0.44442543]]
[[ 1.17775559  0.24901938]]
[[ 2.09515452  0.98959982]]
[[ 0.74061888 -0.26124117]]
[[ 1.22095323  0.46000963]]
[[ 0.05339247 -0.80601156]]
[[ 1.3502357   0.44914672]]
[[ 0.99691933  0.06018129]]
[[ 2.32861137  1.2936691 ]]
[[ 2.50332499  1.28563964]]
[[ 1.28122091  0.45535645]]
[[ 0.78454155 -0.00630054]]
[[ 1.89225006  0.72104108]]
[[ 1.01542616  0.20575956]]
[[ 1.01496649  0.1928468 ]]
[[ 1.2900269   0.42990214]]
[[ 2.30525565  1.39829886]]
[[ 0.24983531 -0.46479324]]
[[ 1.48699832  0.45111766]]
[[ 1.42048955  0.67427909]]
[[ 1.73623991  0.76799953]]
[[ 1.93278694  0.95017087]]
[[ 1.56586695  0.69690514]]
[[ 1.35637903  0.3743735 ]]
[[ 1.65115905  0.67267513]]
[[ 0.62538391 -0.23572853]]
[[ 1.96385765  0.80799532]]
[[ 0.70680851 -0.09728149]]
[[ 1.81223726  0.79933083]]
[[ 1.24529099  0.59930849]]
[[ 1.51039696  0.64139587]]
[[ 1.63096428  0.76275635]]
[[ 0.88281351  0.17068329]]
[[ 1.10224223  0.14140978]]
[[ 1.97840738  1.08875072]]
[[ 2.17476082  1.27158821]]
[[ 1.80759311  0.58690047]]
[[ 1.92368746  0.87690771]]
[[ 1.50605011  0.5742923 ]]
[[ 1.59855008  0.53988135]]
[[ 2.28202844  1.25917745]]
[[ 1.74895954  0.81372762]]
[[ 1.1907835  -0.01861307]]
[[ 1.27380037  0.24525735]]
[[ 1.0012207  -0.09402677]]
[[ 0.84478754  0.03322139]]
[[ 1.90403914  1.14922357]]
[[ 2.12439775  1.15893221]]
[[ 1.8100667   0.73199749]]
[[ 0.86970419 -0.17997345]]
[[ 0.84124869  0.13248584]]
[[ 2.32919168  1.11804748]]
[[ 1.88299251  0.90521538]]
[[ 1.89296484  0.95336843]]
[[ 2.38531566  1.44597375]]
[[ 1.4456799   0.40925029]]
[[ 1.51490068  0.74153757]]
[[ 1.85147119  0.60597616]]
[[ 2.30057168  1.19315577]]
